NEIGHBORHOOD,GENDER,POPULATION
Kaike,female,1919
Kaike,male,1686
Mudkechula,female,2533
Mudkechula,male,2632
Shey Phoksundo,female,1589
Shey Phoksundo,male,1547
Thulibheri,female,4178
Thulibheri,male,4393
Tripurasundari,female,5138
Tripurasundari,male,5175
Aadarsha,female,13879
Aadarsha,male,10603
Badikedar,female,8524
Badikedar,male,8207
Bogatan Phudsil,female,9422
Bogatan Phudsil,male,8484
Dipayal Silgadhi,female,18114
Dipayal Silgadhi,male,17924
Jorayal,female,10698
Jorayal,male,10598
K.I. Singh,female,11910
K.I. Singh,male,8993
Khaptad National Park,female,0
Khaptad National Park,male,0
Purbichauki,female,12779
Purbichauki,male,9710
Sayal,female,10694
Sayal,male,8881
Shikhar,female,18474
Shikhar,male,13852
Aarughat,female,13245
Aarughat,male,10670
Ajirkot,female,8437
Ajirkot,male,7165
Barpak Sulikot,female,14286
Barpak Sulikot,male,11113
Bhimsen Thapa,female,12537
Bhimsen Thapa,male,9516
Chumnubri,female,3862
Chumnubri,male,3555
Dharche,female,7262
Dharche,male,6002
Gandaki,female,12694
Gandaki,male,10568
Gorkha,female,27523
Gorkha,male,23161
Palungtar,female,21577
Palungtar,male,16667
Shahid Lakhan,female,15490
Shahid Lakhan,male,12065
Siranchok,female,13107
Siranchok,male,10559
Chandrakot,female,12444
Chandrakot,male,9463
Chhatrakot,female,12639
Chhatrakot,male,8865
Dhurkot,female,12847
Dhurkot,male,9621
Gulmidarbar,female,12914
Gulmidarbar,male,9133
Isma,female,12056
Isma,male,8974
Kaligandaki,female,10601
Kaligandaki,male,8284
Madane,female,12301
Madane,male,9647
Malika,female,12127
Malika,male,9602
Musikot,female,18634
Musikot,male,14366
Resunga,female,18266
Resunga,male,14959
Ruru,female,10691
Ruru,male,7919
Satyawati,female,13645
Satyawati,male,10162
Adanchuli,female,3575
Adanchuli,male,3565
Chankheli,female,2729
Chankheli,male,2812
Kharpunath,female,3045
Kharpunath,male,3000
Namkha,female,2113
Namkha,male,2137
Sarkegad,female,4891
Sarkegad,male,4977
Simkot,female,5656
Simkot,male,6382
